id,brand,model,color,size,country,sku,price,stock,updated_at
1,Acme,Runner,Black,42,ES,A100,19.99,50,2025-10-15
2,Acme,Runner,White,41,ES,A101,24.99,15,2025-10-15
3,Acme,Basics,Blue,M,ES,A102,9.99,120,2025-10-15
4,Acme,Lite,Red,L,ES,A103,14.99,40,2025-10-15
5,BrandX,Pro,Black,One,ES,B200,29.99,10,2025-10-16
6,CoolCo,Jacket,Green,L,FR,C300,39.99,5,2025-10-16
7,Delta,Socks,Gray,U,ES,D400,12.49,200,2025-10-17
8,Xeno,Watch,Silver,U,ES,X999,99.99,2,2025-10-18
9,Acme,Runner,Black,42,PT,A100,21.99,30,2025-10-15
10,BrandX,Pro,Black,One,FR,B200,31.99,8,2025-10-16
